דִּ מְ י וֹן	di mˈ j on
א ל י	eˈ l i
אַ נַ חְ נ וּ	a na xˈ n u
לְ הִ ת ְרַ חֵ ץ	le hi t raˈ xe ts
לְ לַ בְ לֵ ב	le la vˈ le v
הַ מְ צָ אָ ה	ha m tsaˈ ʔ a
ל היס ח ב	le his aˈxe v
ה ֲ שָׂ מָ ה	h a saˈ m a
ס וּ לַ ם	s uˈ la m
תַּ ע ֲ שִׂ י יָּ ן	ta ʔ a s iˈ ja n
ל ה בר י ג	le h avˈr i g
שִׁ מְ שִׁ י יָּ ה	ʃi m ʃi ˈ j a
דּ ְרִי סָ ה	d riˈ s a
לְ סַ י יֵ ם	le saˈ j e m
שְׁ ב וּעַ י יִ ם	ʃ v uˈʔa j i m
ת מל י ל	ta mˈl i l
מא ת י י ם	maˈ ta j i m
ל ה גי ש	le h aˈgi ʃ
לְ הַ דִי חַ	le haˈ di ax
ס ו ל ן	s oˈ la n
תִ קְ רַה	ti kˈ ra
עַ שַׁ שִׁי ת	a ʃaˈ ʃi t
שְׁ תִי קָ ה	ʃ tiˈ k a
י מי	j aˈmi
ח וֹ מֶ ר	ˈ xo me r
ל ה ש ת י ל	le h aʃˈ t i l
לְ טַ י יֵ ל	le taˈ j e l
כַּ סֶּ פֶ ת	kaˈ se fe t
מֵ טֵ ר	ˈme te r
לִ צְ ד וֹ ק	li tsˈ d o k
מח בר ת	max ˈbere t
ק ומ ה	k oˈm a
מצ ו ק ה	mets uˈ k a
לְ י יָ רֵ ט	le j aˈ re t
מַ חֲ סֶ ה	ma xaˈ s e
ס ב ל ן	sa v ˈla n
לְ הַ וּ וֹת	le haˈ v ot
מח ס ן	maxˈ sa n
גַ חְ לִי ל	ga xˈ li l
ל כ ב ס	le x aˈbe s
לְ הַ אַ מִי ר	le ha ʔaˈ mi r
קְ נַ ס	kˈ na s
הַ פְ לָ יָ ה	ha f laˈ j a
לָ שִׁ ית	laˈ ʃ it
חִ יס ָּ כ וֹן	x is aˈ x on
ה וֹר ָ אָ ה	h or aˈ ʔ a
לְ כַא ן	leˈ xa n
לְ הָ אִי ט	le haˈ ʔi t
הַ עִי ר	haˈ ʔi r
לְ הַ נֵ ץ	le haˈ ne ts
מָ נ וֹ ף	maˈ n o f
הַצְ דָּ עָ ה	hats daˈ ʔ a
פּ ְרַ קְ לִי ט	p ra kˈ li t
לִ שְׁ ק וֹ ל	li ʃˈ k o l
נ ח ל ה	na xa ˈl a
לִ סְ עוֹ ר	li sˈ ʔo r
לְ זַ נֵּ ב	le zaˈ ne v
לְ בַ ז ּוֹ ת	le vaˈ z o t
ס וֹ כֵ ן	s oˈ xe n
מַע ַ רִי ב	maʔ aˈ ri v
בִּי ט וּ ל	biˈ t u l
פִּי ג וּ ר	piˈ g u r
לְ פִ י כָ ךְ	le fi ˈ xa x
ל ח פור	la xˈ por
לְ הַ שְׁ ה וֹת	le ha ʃˈ h ot
הַ אַ דַ ם	ha ʔaˈ da m
גִ מְ לַה	gi mˈ la
לְ הִ תְ עַ שּׁ ֵ ת	le hi tʔ aˈ ʃ e t
ה ֲ רָ מָ ה	h a raˈ m a
לְ מַע ֵ ט	le maˈʔ e t
לְ רַ פֵּ ט	le raˈ pe t
אִ לּ וּ לֵ י	i l uˈ le i
לְ עַ רְ גֵ ל	le ʔa rˈ ge l
ל ה יש נ ק	le h iʃ aˈne k
שַׁ פַ ן	ʃaˈ fa n
ז בר ה	ˈze br a
סַ פְ סַ ל	sa fˈ sa l
עַ ו וֹן	aˈ v on
חי ט ה	xiˈ t a
לְ פַ רְ סֵ ם	le fa rˈ se m
כ ס ף	ˈke se f
ת דר י ך	ta dˈr i x
נִ פְ לָ א	ni fˈ l a
ל ד ב ר	le da ˈbe r
לְ הִ תְ קָ רֵ ב	le h it kaˈ re v
בְּ נִי ג וּ ד	be niˈ g u d
לְ דַ רְ דֵּ ר	le da rˈ de r
עַ ם	ˈa m
מַע ַ בַ ר	maʔ aˈ va r
שֵׁ י נָ ה	ʃe ˈ n a
ח נ י ך	x aˈn i x
לְ בַ לּ וֹת	le vaˈ l ot
לְ הִ תְ אַ גֵּ ד	le hi tʔ aˈ ge d
מ ס פ ר	mi sˈ pa r
ל הת ח ל ש	le hit xa ˈle ʃ
מִי סְ ח וּ ר	mi sˈ x u r
לִנְ כּ וֹ חַ	linˈ k o ax
י ר ק ן	j arˈ k an
מִ שְׁ תֵה	mi ʃ ˈte
ה י ע דר ות	h e ʔ adˈr ut
לְ הִ יצַ פ וֹת	le h itsaˈ f ot
גַּ פְ ר וּ ר	ga fˈ r u r
לְ הַלְ בִּי ן	le halˈ bi n
לַ חְ ת וֹ ם	la xˈ t o m
ד ל פ ק	de l ˈpe k
וַ דַ אִי	va daˈ ʔi
ל חט וא	la xaˈt o
מַ שְׁ פֵּ ךְ	ma ʃˈ pe x
קַ נָּ א	ka ˈn a
מי כ ל	me ˈxa l
לַע ֲ ק וֹ ץ	laʔ aˈ k o ts
הַ סָּ חָ ה	ha saˈ x a
תִּ מְ ר וֹן	ti mˈ r on
סי נ ו ן	siˈ n u n
עֶ ג ֶ ל	ˈe g e l
לְ הִ ת ְחַ שְׁ מֵ ל	le hi t xa ʃˈ me l
לָ ר וֹן	laˈ r on
הַ לִי כַה	ha li ˈxa
לַע ֲ מ וֹ ם	laʔ aˈ m o m
פִּי קּ וּ חַ	piˈ k u ax
ל ה כ ע יס	le h axˈ ʔ is
ל דו ו ח	le daˈv e ax
עַ מ וּ ד	aˈ m u d
ג ופ נ י	g ufaˈ n i
מַ רְ קֵ ר	ˈma r ke r
ש ט יח ו ן	ʃ t iˈx o n
צִי פּ וּ י	tsiˈ p u j
רִי ט וּ ט	riˈ t u t
הַ מּ ְדִי נִי ּ וּת	ha m edi ni ˈj ut
תּ וֹ כִ ית	t oˈ x it
כי ב ו ד	kiˈ b u d
טֵ כְ נִי קַה	ˈte x ni ka
לְ י יַ סֵ ד	le j aˈ se d
לְ עוֹ דֵ ד	le ʔoˈ de d
ל הת כל ו ת	le hit kaˈl o t
יַצ וּ ר	jatˈs u r
נְ טִי יָּ ה	ne tiˈ j a
לע ית י ם	leʔ iˈt i m
צְ נ וֹן	tsˈ n on
לְ אַ ן	leˈ a n
עוֹ בִי	ˈo vi
גִּ י בֵּ ן	gi ˈ be n
גַּ לְ גָּ ל וֹן	ga l gaˈ l on
מַ נְ גַ נ וֹן	ma n gaˈ n on
ג ל יד ה	g l iˈd a
נָ ד וּ ד	naˈ d u d
יֵ קֵ ב	ˈje ke v
מ דר ש ה	mi draˈ ʃ a
לְ הַ דִי ף	le haˈ di f
כַּ סְ פּ וֹ מַ ט	ka s p oˈ ma t
חֲ טִי בָ ה	xa tiˈ v a
לָ ג וּ ר	laˈ g u r
נֵ חַ ת	neˈ xa t
נַ כ וּת	naˈ x ut
שֵׁ כֵ ם	ˈʃe xe m
צו ות י	tsi vˈt i
תִ ע ְ ת וּ ק	ti ʔ aˈ t u k
לְ י יַ צֵּ ב	le j a tˈse v
ל ח ב ו ק	la xˈ b o k
ח נ וכ י י ה	xa n uk iˈ j a
דֵ שֵׁ ן	ˈde ʃe n
ה ֲ פַ כְ פַּ ךְ	h a fa xˈ pa x
ל ה י פ דו ת	le h i pa ˈdo t
לְ מַ רְ כֵּ ז	le ma rˈ ke z
