לְהִשְׁתַּקֵּף	lehiʃtaˈkef
כְּדַאי	keˈdaj
הַשְׁקָפָה	haʃkaˈfa
לְחַלֵל	lexaˈlel
לִפְרוֹשׁ	lifˈroʃ
לְמַתֵּג	lemaˈteg
לְהִתְעוֹרֵר	lehitʔoˈrer
רָקֶטָה	raˈketa
תמרור	tamˈrur
אסלה	asˈla
אופיין	ofˈjan
להזקיק	lehazˈkik
לִנְווֹת	linˈvot
שׁוּלַייִם	ʃuˈlajim
מִיַד	miˈjad
לערוף	laʔaˈrof
עֲווִיל	aˈvil
סְווֶדֶר	sˈveder
חָצִיר	xatˈsir
מַחֲצִית	maxatˈsit
פיתה	piˈta
שְׂכִירָה	sxiˈra
שִׂיגְשׂוּג	sigˈsug
מַאֲרָז	maʔaˈraz
קָבוּר	kaˈvur
לְהִיווָּסֵד	lehivaˈsed
לְהִינָּזֵף	lehinaˈzef
להפיג	lehaˈfig
חִילוֹנִי	xiloˈni
לְייַלֵּל	lejaˈlel
חֲנָיָה	xanaˈja
דיפדוף	difˈduf
לְהַצְרִיךְ	lehatsˈrix
אירופי	eiˈropi
חוח	ˈxoax
אֵילוּ	ˈeilu
שִׁימוּר	ʃiˈmur
לְשַׁווֵּק	leʃaˈvek
לְדַמוֹת	ledaˈmot
בַּגְרוּת	bagˈrut
אֲסֵיפָה	aseˈfa
לְטַרְפֵּד	letarˈped
לצוץ	latˈsuts
עַלִּיז	aˈliz
לְהַבִיא	lehaˈvi
השתעבדות	hiʃtaʔabˈdut
מְדִינוֹת	mediˈnot
מֵטֵר	ˈmeter
גֶּנֶטִי	geˈneti
אֶתְרוֹג	etˈrog
לְצַייֵד	letsaˈjed
קבצן	kabtˈsan
מַשְׁבֵּר	maʃˈber
הִיכַּנְסוּת	hikanˈsut
לְטַנֵף	letaˈnef
להלבין	lehalˈbin
מַרְקֵר	ˈmarker
חקירה	xakiˈra
לְקַדֵשׁ	lekaˈdeʃ
לְייַצֵּב	lejatˈsev
פָּלִיט	paˈlit
מעללים	maʔalaˈlim
דּוֹשֶׁן	ˈdoʃen
תַּקְדִּים	takˈdim
רזה	raˈze
לְדַווֵּחַ	ledaˈveax
לְהֵיעַתֵק	leheʔaˈtek
נִיטּוּר	niˈtur
לִמְלוֹק	limˈlok
לְהִצְטַייֵר	lehitstaˈjer
מִשְׁווַאַה	miʃvaˈʔa
לִמְלוֹךְ	limˈlox
לְשַׁקֵף	leʃaˈkef
שִישִייַה	ʃiʃiˈja
הִתְייַעֲצוּת	hitjaʔatˈsut
להיסרק	lehisaˈrek
יפיוף	jafˈjuf
גֵט	ˈget
מְגוּלְווַן	megulˈvan
זית	ˈzajit
להצליב	lehatsˈliv
חִינוּכִי	xinuˈxi
לֶאֱהוֹד	leʔeˈhod
גּוּשְׁפַּנְקָה	guʃˈpanka
מִזְנוֹן	mizˈnon
אוֹרֵחַ	oˈreax
חוֹשֵׁךְ	ˈxoʃex
תְּנוּעָה	tnuˈʔa
לִמְתוֹחַ	limˈtoax
לַקוֹחַ	laˈkoax
לְהִידָּהֵם	lehidaˈhem
לְתַקֵן	letaˈken
קוֹבֵץ	ˈkovets
רוּחַ	ˈruax
שִׁיעוּר	ʃiˈʔur
לְהַאַשִׁים	lehaʔaˈʃim
להיצרך	lehitsaˈrex
הֲמוֹנִי	hamoˈni
אחורי	axoˈri
גוֹפֵר	ˈgofer
לַהֲרוֹס	lahaˈros
לִשְׁתּוֹת	liʃˈtot
להשכיח	lehaʃˈkiax
חג	ˈxag
עָצִיר	atˈsir
לְהַלִיט	lehaˈlit
לְקַטֵּב	lekaˈtev
הִתְמַקְחוּת	hitmakˈxut
לְהֵירָקֵב	leheraˈkev
חִינּוּכִי	xinuˈxi
מעוף	maˈʔof
להתנקש	lehitnaˈkeʃ
דִבֵּר	diˈber
קָשִׁיחַ	kaˈʃiax
לחשוף	laxaˈsof
קַצַר	katˈsar
לְאַגֵּף	leʔaˈgef
קְרַב	kˈrav
בַּרְדָּק	barˈdak
הזמן	hazˈman
נִימוּל	niˈmul
להתפכח	lehitpaˈkeax
רַצְחַנִי	ratsxaˈni
לְחַכֵּךְ	lexaˈkex
כּוֹתֵל	ˈkotel
ממגורה	mamguˈra
גַּשָּׁשׁ	gaˈʃaʃ
מוּחְצַן	muxtˈsan
חֵקֵר	ˈxeker
תַמַר	taˈmar
ספח	ˈsefax
כַּייַס	kaˈjas
קשה	kaˈʃe
לְפַצְפֵּץ	lefatsˈpets
דֶּשֶׁן	ˈdeʃen
לְהַגִּיד	lehaˈgid
פִּישְׁפֵּשׁ	piʃˈpeʃ
לִסְדוֹק	lisˈdok
צְפִירַה	tsfiˈra
רשמי	riʃˈmi
לְהַרְנִין	leharˈnin
גחמה	gaxˈma
לִגְלוֹשׁ	ligˈloʃ
משבר	maʃˈber
מֵקֵק	ˈmekek
הֵעְתֵק	heʔeˈtek
להניא	lehaˈni
לְגַדֵף	legaˈdef
כְּלָלוּת	klaˈlut
קַצֶּרֶת	katˈseret
זווית	zaˈvit
רָצוֹן	ratˈson
לְהִשְׁתַמֵט	lehiʃtaˈmet
יְרִידָה	jeriˈda
משוקלל	meʃukˈlal
להעז	lehaˈʔez
לְהַמְשִׁיל	lehamˈʃil
מִדְבָּר	midˈbar
מְגֵירָה	megeˈra
לִיטוֹל	liˈtol
לִשְׁלוֹם	liʃˈlom
סֵבֶב	ˈsevev
